인물,대사,연출,
나비%0%0,(작게 웃어준다.).\n동생을 무척이나 아끼셨나 봐요.,11,0
이 승%0%0,(은은하게 웃는다.)\n…무척이나.(하지만 이내 곧 슬픈 표정으로 바뀐다.),11,0
이 승%0%0,하지만 그런 일상도 오래 가지 않았어.\n얼마 안 가 동생은 사고로 인해 죽어버렸지.,11,0
이 승%0%0,…그 날밤도 같이 감귤 쥬스 마시기로 했는데…,11,0
나비%3%0,(안타까운 듯 탄식)\n아…,11,0
이 승%3%7,그 이후로 나는…,0,0
나비%3%0,(토닥여준다.)\n<i>…당신도 참 험난한 인생을 살았군요.</i>,0,0
이 승%2%0,동생의 죽음을 믿을 수 없었던.\n난 그 아이를 만나기 위해 모든 수단과 방법을 가리지 않았어.,0,0
이 승%0%0,무당도 찾아가 봤고. 기도도 했어..\n심지어 강령술도 해봤지.,0,0
이 승%2%0,그 때. 누군가 온 거야. 저승 컴퍼니에서.,0,0
이 승%0%0,이곳에서 저승사자로 일해보지 않겠냐고.\n내가 찾고 있던 자도 찾을 수 있을 거라며 말이지.,0,0
이 승%2%5,(약간의 침묵 후)…바로 받아들였어.\n‘어쩌면 동생을 만날 수 있지 않을까’ 하고…,0,0
이 승%0%0,그 이후 동생의 흔적이 닿았던 모든 곳을 찾아갔어.,0,0
이 승%0%0,하지만…같이 살던 집에도.\n항상 일했던 공장에도.,0,0
이 승%2%7,어디에도…,0,0
나비%0%0,…저런…,0,0
이 승%0%0,그렇지만 포기하지 않아.,0,0
이 승%0%0,그 아이는 날 두고 먼저 이 세계를 떠날 리가 없어.,0,0
이 승%0%0,아직 명부에도 그 아이 이름이 적혀있지 않았단 말이야…,0,0
이 승%1%7,어딘가 있어…,0,0
나비%0%0,(어깨를 토닥여준다.)\n분명히 찾을 수 있을 거예요.,0,0
이 승%5%0,고맙군.\n어쩐지 네 말을 들으니 정말로 동생을 찾을 수 있을 것만 같아.,0,0
나비%0%0,(살짝 짜증.)\n웨에에에에옹…..,0,1%5
이 승%0%0,자. 그럼 슬슬 가야겠지…\n다음은 어디로 가야 할까…,0,1%5
나비%0%0,우선 조금 쉬는 거 어때요?\n다크서클이 조금 보이는데.,0,1%6
이 승%6%0,아. 이건…,0,0
이 승%0%0,내가 저승사자가 될 때 피곤해서 이렇게 영구적으로 박힌 거네.,0,0
이 승%0%0,사실 꽤 잘 잤다네.,0,0
나비%4%9,(충격)그런 건가…?,0,2%5
이 승%0%1,(끄덕끄덕),0,0
나비%0%5,<i>음...<i>,,
나비%0%5,<i>어쩌면 동생과 엇갈리고 있는 것일 수도 있죠.\n동생과 같이 주스 마시기로 한 그 장소에 가서 기다려보는 건 어떤가요?</i>,0,0
이 승%4%0,...,0,0
나비%0%0,(의문 스러운 표정)…?,0,0
이 승%4%0,(당혹스러운 표정.),0,0
나비%4%0,(의심스러운 표정)<i>설마…</i>,0,0
나비%4%0,<i>설마 전국 다 뒤졌는데 그 곳을 안 간 거예요?</i>,0,2%1
이 승%4%0,… 당장 가보겠네.,0,0
나비%0%0,(은근 허당이구만 저거…),0,0
나비%0%3,잘 가요.동생과 같이 오면 감귤쥬스 만들어줄 테니까요.,0,0
이 승%0%0,(고개를 살짝 끄덕여 인사를 전한다.),0,1%7
나비%2%0,흐음...새로운 단골이 생긴 것 같은 기분이네.,-1,0
